P	P (slang)_femme_(lesbian_stereotype) 
勝	勝 victory success to_beat to_defeat to_surpass victorious superior_to to_get_the_better_of better_than surpassing superb_(of_vista) beautiful_(scenery) wonderful_(view) (Taiwan_pr._[sheng1])_able_to_bear equal_to_(a_task) 
匽	匽 to_hide,_to_secrete,_to_repress to_bend 
匾	匾 horizontal_rectangular_inscribed_tablet_hung_over_a_door_or_on_a_wall shallow_round_woven_bamboo_basket 
匿	匿 to_hide 
區	區 surname_Ou 
區	區 area region district small distinguish CL:個|个[ge4] 
剎	剎 Buddhist_monastery,_temple_or_shrine_(abbr._for_剎多羅,_Sanskrit_ksetra) 
剎	剎 to_brake 
刼	刼 variant_of_劫[jie2] 
募	募 canvass_for_contributions to_recruit to_collect to_raise 
勠	勠 to_join_(forces) variant_of_戮[lu4] 
勢	勢 power influence potential momentum tendency trend situation conditions outward_appearance sign gesture male_genitals 
勄	勄 old_variant_of_敏[min3] 
勅	勅 variant_of_敕[chi4] 
勇	勇 brave 
勈	勈 old_variant_of_勇[yong3] 
勉	勉 to_exhort to_make_an_effort 
勌	勌 old_variant_of_倦[juan4] 
勍	勍 violent strong 
勞	勞 to_toil labor laborer to_put_sb_to_trouble_(of_doing_sth) meritorious_deed to_console_(Taiwan_pr._[lao4]_for_this_sense) 
刾	刾 old_variant_of_刺[ci4] 
剁	剁 to_chop_up_(meat_etc) to_chop_off_(sb's_hand_etc) 
剃	剃 to_shave 
剄	剄 cut_the_throat 
冰	冰 ice CL:塊|块[kuai4] to_chill_sth (of_an_object_or_substance)_to_feel_cold (of_a_person)_cold unfriendly (slang)_methamphetamine 
剛	剛 hard firm strong just barely exactly 
剜	剜 to_scoop_out to_gouge_out 
剝	剝 to_peel to_skin to_shell to_shuck 
剝	剝 to_peel to_skin to_flay to_shuck 
則	則 (conjunction_used_to_express_contrast_with_a_previous_clause)_but then standard norm principle to_imitate to_follow classifier_for_written_items 
剉	剉 to_file 
削	削 to_peel_with_a_knife to_pare to_cut_(a_ball_at_tennis_etc) 
削	削 to_pare to_reduce to_remove Taiwan_pr._[xue4] 
剋	剋 Ke_(c._2000_BC),_seventh_of_the_legendary_Flame_Emperors,_炎帝[Yan2_di4]_descended_from_Shennong_神農|神农[Shen2_nong2]_Farmer_God 
剋	剋 variant_of_克[ke4] to_subdue to_overthrow to_restrain 
剋	剋 to_scold to_beat 
剌	剌 to_slash 
剌	剌 perverse unreasonable absurd 
劊	劊 to_amputate to_cut_off also_pr._[kuai4] 
剏	剏 variant_of_創|创[chuang4] 
剒	剒 to_cut to_carve 
剔	剔 to_scrape_the_meat_from_bones to_pick_(teeth_etc) to_weed_out 
剕	剕 amputation_of_limbs_as_corporal_punishment variant_of_腓,_calf 
剖	剖 to_cut_open to_analyze Taiwan_pr._[pou3] 
剗	剗 variant_of_鏟|铲[chan3] 
剚	剚 erect stab 
冧	冧 (Cantonese)_to_topple to_collapse to_coax flower_bud 
冪	冪 power exponent_(math.) to_cover_with_a_cloth cloth_cover veil 
冫	冫 "ice"_radical_in_Chinese_characters_(Kangxi_radical_15),_occurring_in_冰,_决,_次 see_also_兩點水|两点水[liang3_dian3_shui3] 
冬	冬 winter 
勣	勣 variant_of_績|绩[ji4] merit accomplishment 
勤	勤 diligent industrious hardworking frequent regular constant 
劌	劌 cut injure 
劍	劍 double-edged_sword CL:口[kou3],把[ba3] classifier_for_blows_of_a_sword 
勐	勐 meng_(old_administrative_division_in_Dai_areas_of_Yunnan) variant_of_猛[meng3] 
勑	勑 variant_of_敕[chi4] 
勒	勒 to_rein_in to_compel to_force to_carve to_engrave (literary)_to_command to_lead bridle (physics)_abbr._for_勒克斯[le4_ke4_si1],_lux 
勒	勒 to_strap_tightly to_bind 
亡	亡 to_die to_lose to_be_gone to_flee deceased 
俯	俯 to_look_down to_stoop 
倀	倀 ghost_of_sb_devoured_by_a_tiger_who_helps_the_tiger_devour_others 
倂	倂 variant_of_併|并[bing4] 
倃	倃 to_malign to_slander 
倅	倅 auxiliary spare deputy second sub- 
倆	倆 two_(colloquial_equivalent_of_兩個|两个) both some 
倉	倉 barn granary storehouse cabin hold_(in_ship) 
倜	倜 energetic exalted magnanimous 
倝	倝 dawn_(archaic) 
倞	倞 strong powerful 
倞	倞 distant to_seek old_variant_of_亮[liang4] bright 
剞	剞 curved_wood_graver 
剟	剟 to_prick to_cut_blocks,_to_engrave 
剡	剡 river_in_Zhejiang 
剡	剡 sharp 
剣	剣 Japanese_variant_of_劍|剑 
剤	剤 Japanese_variant_of_劑|剂 
剩	剩 to_remain to_be_left to_have_as_remainder 
匆	匆 hurried hasty 
匈	匈 Hungary Hungarian abbr._for_匈牙利[Xiong1_ya2_li4] 
匈	匈 old_variant_of_胸[xiong1] 
匉	匉 noise_of_waters 
匊	匊 variant_of_掬[ju1] 
匋	匋 pottery 
匍	匍 crawl lie_prostrate 
前	前 front forward ahead first top_(followed_by_a_number) future ago before BC_(e.g._前293年) former formerly 
凞	凞 bright splendid glorious 
凟	凟 variant_of_瀆|渎[du2] 
几	几 small_table 
凡	凡 ordinary commonplace mundane temporal of_the_material_world_(as_opposed_to_supernatural_or_immortal_levels) every all whatever altogether gist outline note_of_Chinese_musical_scale 
偵	偵 to_scout to_spy to_detect 
偶	偶 accidental image pair mate 
剪	剪 surname_Jian 
剪	剪 scissors shears clippers CL:把[ba3] to_cut_with_scissors to_trim to_wipe_out_or_exterminate 
勦	勦 variant_of_剿[chao1] 
勦	勦 variant_of_剿[jiao3] 
勧	勧 Japanese_variant_of_勸|劝 
勩	勩 (literary)_toilsome laborious (of_an_edge_etc)_worn_out blunt 
勯	勯 exhausted 
勰	勰 harmonious 
勱	勱 put_forth_effort 
劑	劑 dose_(medicine) 
劒	劒 variant_of_劍|剑[jian4] 
劓	劓 cut_off_the_nose 
劖	劖 bore cut polish 
劘	劘 whittle 
劙	劙 a_divide,_to_partition 
力	力 surname_Li 
力	力 power force strength ability strenuously 
勔	勔 variant_of_勉[mian3] 
動	動 (of_sth)_to_move to_set_in_movement to_displace to_touch to_make_use_of to_stir_(emotions) to_alter abbr._for_動詞|动词[dong4_ci2],_verb 
刪	刪 to_delete 
刮	刮 to_scrape to_blow to_shave to_plunder to_extort 
個	個 individual this that size classifier_for_people_or_objects_in_general 
勲	勲 variant_of_勛|勋[xun1] 
勳	勳 variant_of_勛|勋[xun1] 
勵	勵 surname_Li 
䈰	䈰 pot-scrubbing_brush_made_of_bamboo_strips basket_(container)_for_chopsticks variant_of_筲[shao1] 
䕭	䕭 a_kind_of_vegetable 
䗈	䗈 old_variant_of_虻[meng2] 
䗪	䗪 Chinese_ground_beetle_(Eupolyphaga_sinensis) 
䛐	䛐 old_variant_of_詞|词[ci2] 
䝔	䝔 variant_of_獾[huan1] 
䟆	䟆 old_variant_of_蹕|跸[bi4] 
匏	匏 bottle_gourd Lagenaria_vulgaris 
匐	匐 to_fall_prostrate 
匑	匑 to_bow to_salute 
匔	匔 old_variant_of_匑[gong1] 
匕	匕 dagger ladle ancient_type_of_spoon 
化	化 variant_of_花[hua1] 
化	化 to_make_into to_change_into -ization to_..._-ize to_transform abbr._for_化學|化学[hua4_xue2] 
冏	冏 velvetleaf_(Abutilon_avicennae),_plant_of_the_jute_family bright 
冐	冐 old_variant_of_冒[mao4] 
冑	冑 variant_of_胄[zhou4] 
冒	冒 surname_Mao 
凢	凢 variant_of_凡[fan2] 
凥	凥 old_variant_of_居[ju1] 
処	処 old_variant_of_處|处[chu3] 
凮	凮 old_variant_of_風|风[feng1] 
凰	凰 phoenix 
凱	凱 surname_Kai 
凱	凱 triumphant victorious chi_(Greek_letter_Χχ) 
偷	偷 to_steal to_pilfer to_snatch thief stealthily 
俁	俁 big 
係	係 to_connect to_relate_to to_tie_up to_bind to_be_(literary) 
促	促 urgent hurried to_urge to_promote to_urge_haste close intimate 
勵	勵 to_encourage to_urge 
勷	勷 haste 
勸	勸 to_advise to_urge to_try_to_persuade to_exhort to_console to_soothe 
到	到 to_(a_place) until_(a_time) up_to to_go to_arrive (verb_complement_denoting_completion_or_result_of_an_action) 
俄	俄 Russia Russian abbr._for_俄羅斯|俄罗斯[E2_luo2_si1] Taiwan_pr._[E4] 
俄	俄 suddenly very_soon 
偸	偸 variant_of_偷[tou1] 
偺	偺 variant_of_咱[zan2] 
偽	偽 false fake forged bogus Taiwan_pr._[wei4] 
倡	倡 to_initiate to_instigate to_introduce to_lead 
倢	倢 handsome 
値	値 variant_of_值[zhi2] 
倥	倥 ignorant blank-minded 
倦	倦 tired 
倨	倨 haughty arrogant 
勹	勹 archaic_variant_of_包[bao1] 
勺	勺 spoon ladle CL:把[ba3] abbr._for_公勺[gong1_shao2],_centiliter_(unit_of_volume) 
剷	剷 to_level_off to_root_up 
剸	剸 slash 
冒	冒 to_emit to_give_off to_send_out_(or_up,_forth) to_brave to_face reckless to_falsely_adopt_(sb's_identity_etc) to_feign (literary)_to_cover 
凳	凳 bench stool 
凴	凴 variant_of_憑|凭[ping2] 
凵	凵 receptacle 
凶	凶 vicious fierce ominous inauspicious famine variant_of_兇|凶[xiong1] 
傀	傀 grand strange exotic 
傀	傀 puppet 
傅	傅 surname_Fu 
傅	傅 tutor 
傌	傌 variant_of_罵|骂[ma4] 
倣	倣 variant_of_仿[fang3] 
倥	倥 urgent pressed 
剹	剹 to_peel_with_a_knife old_variant_of_戮[lu4] 
剺	剺 mark 
剽	剽 to_rob swift nimble Taiwan_pr._[piao4] 
剿	剿 to_plagiarize 
剿	剿 to_destroy to_extirpate 
劁	劁 to_neuter_livestock 
劂	劂 chisel engrave 
劣	劣 inferior 
劦	劦 unending_exertion 
劦	劦 variant_of_協|协[xie2] to_cooperate combined_labor 
助	助 to_help to_assist 
勻	勻 even well-distributed uniform to_distribute_evenly to_share 
勾	勾 surname_Gou 
勾	勾 to_attract to_arouse to_tick to_strike_out to_delineate to_collude variant_of_鉤|钩[gou1],_hook 
勾	勾 see_勾當|勾当[gou4_dang4] 
功	功 meritorious_deed_or_service achievement result service accomplishment work_(physics) 
刱	刱 establish,_create knife_cut 
刲	刲 cut_open_and_clean 
刳	刳 to_cut_open rip_up scoop_out 
刴	刴 variant_of_剁[duo4] 
刵	刵 cutting_off_the_ears_as_punishment 
制	制 system to_control to_regulate variant_of_製|制[zhi4] 
俅	俅 ornamental_cap 
俉	俉 see_逢俉[feng2_wu2],_to_come_across_sth_scary to_have_a_fright 
兄	兄 elder_brother 
充	充 to_fill to_satisfy to_fulfill to_act_in_place_of substitute sufficient full 
倩	倩 pretty winsome to_ask_for_sb's_help son-in-law_(old) 
倪	倪 surname_Ni 
倪	倪 (literary)_small_child limit bound extremity to_differentiate origin cause 
倫	倫 human_relationship order coherence 
匱	匱 surname_Kui 
匱	匱 variant_of_櫃|柜[gui4] 
匱	匱 to_lack lacking empty exhausted 
匲	匲 variant_of_奩|奁[lian2] 
匳	匳 variant_of_奩|奁[lian2] 
匴	匴 ancient_utensil_for_washing_rice_(or_being_used_as_a_plate) ancient_bamboo_container_for_hats 
匵	匵 old_variant_of_櫝|椟[du2] 
匶	匶 old_variant_of_柩[jiu4] 
匸	匸 "cover"_or_"conceal"_radical_in_Chinese_characters_(Kangxi_radical_23) see_also_匚[fang1] 
匹	匹 mate one_of_a_pair 
匹	匹 classifier_for_horses,_mules_etc Taiwan_pr._[pi1] ordinary_person classifier_for_cloth:_bolt horsepower 
劃	劃 to_cut to_slash to_scratch_(cut_into_the_surface_of_sth) to_strike_(a_match) 
劃	劃 to_delimit to_transfer to_assign to_plan to_draw_(a_line) stroke_of_a_Chinese_character 
北	北 north to_be_defeated_(classical) 
冓	冓 inner_rooms_of_palace ten_billions 
冔	冔 cap_of_Yin_dynasty 
冕	冕 crown_in_the_form_of_a_horizontal_board_with_hanging_decorations imperial_crown 
冖	冖 "cover"_radical_in_Chinese_characters_(Kangxi_radical_14),_occurring_in_军,_写,_冠_etc see_also_禿寶蓋|秃宝盖[tu1_bao3_gai4] see_also_平寶蓋|平宝盖[ping2_bao3_gai4] 
冗	冗 extraneous redundant superfluous busy_schedule 
凸	凸 to_stick_out protruding convex male_(connector_etc) Taiwan_pr._[tu2] 
凹	凹 depressed sunken indented concave female_(connector_etc) 
凹	凹 variant_of_窪|洼[wa1] (used_in_names) 
冇	冇 to_not_have_(Cantonese) Mandarin_equivalent:_沒有|没有[mei2_you3] 
倬	倬 noticeable large clear distinct Taiwan_pr._[zhuo2] 
傎	傎 inversion mistake 
傑	傑 hero heroic outstanding_person prominent distinguished 
傈	傈 Lisu_ethnic_group_of_Yunnan see_傈僳[Li4_su4] 
傍	傍 near approaching to_depend_on (slang)_to_have_an_intimate_relationship_with_sb Taiwan_pr._[pang2],_[bang1],_[bang4] 
倭	倭 dwarf Japanese_(derog.)_(old) 
俊	俊 smart eminent handsome talented 
俊	俊 (dialectal_pronunciation_of_俊[jun4]) cool neat 
俎	俎 a_stand_for_food_at_sacrifice 
俏	俏 good-looking charming (of_goods)_in_great_demand (coll.)_to_season_(food) 
俐	俐 clever 
俑	俑 wooden_figures_buried_with_the_dead 
劄	劄 to_prick_with_a_needle 
劄	劄 variant_of_札[zha2] 
劇	劇 theatrical_work_(play,_opera,_TV_series_etc) dramatic_(change,_increase_etc) acute severe 
努	努 to_exert to_strive 
勿	勿 do_not 
匁	匁 (Japanese_kokuji)_momme_(Japanese_unit_of_weight_equal_to_3.75_grams) 
匃	匃 variant_of_丐[gai4] 
匄	匄 variant_of_丐[gai4] 
包	包 surname_Bao 
包	包 to_cover to_wrap to_hold to_include to_take_charge_of to_contract_(to_or_for) package wrapper container bag to_hold_or_embrace bundle packet CL:個|个[ge4],隻|只[zhi1] 
加	加 abbr._for_Canada_加拿大[Jia1_na2_da4] surname_Jia 
加	加 to_add plus (used_after_an_adverb_such_as_不,_大,_稍_etc,_and_before_a_disyllabic_verb,_to_indicate_that_the_action_of_the_verb_is_applied_to_sth_or_sb_previously_mentioned) to_apply_(restrictions_etc)_to_(sb) to_give_(support,_consideration_etc)_to_(sth) 
勖	勖 exhort stimulate 
勗	勗 exhort stimulate 
刻	刻 quarter_(hour) moment to_carve to_engrave to_cut oppressive classifier_for_short_time_intervals 
俓	俓 straight pass 
俔	俔 (old)_like as 
俗	俗 custom convention popular common coarse vulgar secular 
刓	刓 to_trim 
刖	刖 to_amputate_one_or_both_feet_(punishment_in_imperial_China) see_also_五刑[wu3_xing2] 
列	列 to_arrange to_line_up file series (in_data_tables)_column (Tw)_row 
倮	倮 variant_of_裸[luo3] 
倵	倵 (used_in_given_names) 
倶	倶 variant_of_俱[ju4] variant_of_具[ju4] 
倷	倷 you_(dialect) 
倸	倸 variant_of_睬[cai3] 
倹	倹 Japanese_variant_of_儉|俭[jian3] 
倻	倻 phonetic_ya_used_in_Korean_names variant_of_伽[jia1] 
值	值 value (to_be)_worth to_happen_to to_be_on_duty 
匘	匘 old_variant_of_腦|脑[nao3] 
匙	匙 spoon 
匚	匚 radical_in_Chinese_characters_(Kangxi_radical_22),_occurring_in_区,_医,_匹_etc see_also_三框欄|三框栏[san1_kuang4_lan2] see_also_區字框|区字框[qu1_zi4_kuang4] 
匜	匜 washbasin_with_a_tubular_handle 
匝	匝 circuit to_surround to_extend_(everywhere) 
匞	匞 old_variant_of_匠[jiang4] 
匟	匟 old_variant_of_炕[kang4] 
匠	匠 craftsman 
匡	匡 surname_Kuang 
劈	劈 to_hack to_chop to_split_open (of_lightning)_to_strike 
劈	劈 to_split_in_two to_divide 
停	停 to_stop to_halt to_park_(a_car) 
傴	傴 hunchbacked 
債	債 debt CL:筆|笔[bi3] 
傷	傷 to_injure injury wound 
亙	亙 extending_all_the_way_across running_all_the_way_through 
㨪	㨪 variant_of_晃[huang3] 
㨿	㨿 variant_of_據|据[ju4] 
㩐	㩐 variant_of_扽[den4] 
㩗	㩗 old_variant_of_攜|携[xie2] 
㩜	㩜 variant_of_擥[lan3] 
㩦	㩦 old_variant_of_攜|携[xie2] 
㪃	㪃 to_beat to_hit 
㪋	㪋 variant_of_捍[han4] 
㪚	㪚 variant_of_散[san4] 
㪟	㪟 variant_of_敦[dun1] 
㫺	㫺 old_variant_of_昔[xi1] 
㬉	㬉 old_variant_of_暖[nuan3] 
㬎	㬎 old_variant_of_顯|显[xian3] visible apparent 
㮎	㮎 variant_of_杯[bei1] 
㮚	㮚 old_variant_of_栗[li4] 
㮸	㮸 variant_of_送[song4] 
㯭	㯭 variant_of_櫓|橹[lu3] 
㯳	㯳 variant_of_檠[qing2] 
㱃	㱃 old_variant_of_飲|饮[yin3] 
㱾	㱾 a_kind_of_metal_or_jade_ornament_worn_in_ancient_times_to_ward_off_evil_spirits 
㲈	㲈 variant_of_韶[shao2] 
㲈	㲈 variant_of_鞀[tao2] 
㲋	㲋 ancient_name_for_an_animal_similar_to_rabbit_but_bigger 
㲱	㲱 old_variant_of_鬣[lie4] 
㲾	㲾 old_variant_of_雨[yu3] 
㳂	㳂 variant_of_沿[yan2] 
㳄	㳄 variant_of_涎[xian2] 
㳒	㳒 variant_of_法[fa3] 
㳮	㳮 old_variant_of_尿[niao4] 
㴱	㴱 old_variant_of_深[shen1] 
㵎	㵎 variant_of_澗|涧[jian4] 
㵪	㵪 variant_of_涎[xian2] 
㵮	㵮 clear_water 
㶸	㶸 (precise_meaning_unknown,_relates_to_iron) variant_of_協|协[xie2] 
㷖	㷖 old_variant_of_照[zhao4] 
㷭	㷭 old_variant_of_烽[feng1] 
㹠	㹠 old_variant_of_豚[tun2] 
㹢	㹢 see_玃[jue2] 
㹴	㹴 fierce_dog 
六	六 six 6 
兇	兇 terrible fearful 
全	全 surname_Quan 
亟	亟 urgent 
亟	亟 repeatedly frequently 
亠	亠 "lid"_radical_in_Chinese_characters_(Kangxi_radical_8) 
先	先 early prior former in_advance first 
兡	兡 hectogram_(old) single-character_equivalent_of_百克[bai3_ke4] 
兢	兢 to_be_fearful apprehensive 
兣	兣 centigram_(old) single-character_equivalent_of_厘克[li2_ke4] 
入	入 to_enter to_go_into to_join to_become_a_member_of to_confirm_or_agree_with abbr._for_入聲|入声[ru4_sheng1] 
儊	儊 rough_and_rugged 
儋	儋 carry 
儌	儌 by_mere_luck 
儍	儍 variant_of_傻[sha3] 
儐	儐 best_man to_entertain 
儒	儒 scholar Confucian 
克	克 to_be_able_to to_subdue to_restrain to_overcome gram Tibetan_unit_of_land_area,_about_6_ares 
傺	傺 to_detain to_hinder 
傻	傻 foolish 
傾	傾 to_overturn to_collapse to_lean to_tend to_incline to_pour_out 
亢	亢 surname_Kang Kang,_one_of_the_28_constellations 
㺢	㺢 see_㺢㹢狓[huo4_jia1_pi1] 
㺵	㺵 variant_of_玖[jiu3] black_jade 
㻽	㻽 variant_of_璿|璇[xuan2] also_pr._[sui4] 
㼝	㼝 variant_of_碗[wan3] 
㽞	㽞 old_variant_of_留[liu2] 
㽮	㽮 old_variant_of_星[xing1] 
㿜	㿜 variant_of_癟|瘪[bie3] 
㿝	㿝 old_variant_of_香[xiang1] 
䂖	䂖 variant_of_石[shi2] 
䂲	䂲 variant_of_砝[fa3] 
䂶	䂶 variant_of_蜐[jie2] 
䃉	䃉 old_variant_of_珉[min2] 
䅵	䅵 chaff bran 
䇲	䇲 variant_of_筴|策[ce4] 
䊀	䊀 variant_of_糊[hu2] 
䍃	䍃 (archaic)_vase pitcher 
䍹	䍹 variant_of_羶[shan1] 
䒗	䒗 old_variant_of_芞[qi4] 
䔢	䔢 old_variant_of_華|华[hua2] 
䕭	䕭 a_variety_of_grass nettle 
䖟	䖟 old_variant_of_虻[meng2] 
䖸	䖸 variant_of_蛾[e2] 
䗥	䗥 see_螉䗥[weng1_zong1] 
䗬	䗬 variant_of_蜂[feng1] 
䗶	䗶 old_variant_of_蠟|蜡[la4] 
䘏	䘏 variant_of_恤[xu4] 
䘑	䘑 old_variant_of_脈|脉[mai4] 
䘚	䘚 variant_of_卒[zu2] 
䛟	䛟 variant_of_唊[jia2] 
䝓	䝓 old_variant_of_鬣[lie4] 
䞓	䞓 old_variant_of_赬|赪[cheng1] 
儎	儎 load cargo old_variant_of_載|载[zai4] to_transport to_deliver to_bear to_support 
全	全 all whole entire every complete 
俤	俤 variant_of_弟[di4] 
修	修 surname_Xiu 
修	修 to_decorate to_embellish to_repair to_build to_write to_cultivate to_study to_take_(a_class) 
兪	兪 variant_of_俞[yu2] 
八	八 eight 8 
儓	儓 servant 
儔	儔 comrades friends companions 
儕	儕 a_class a_company companion 
儗	儗 doubtful suspicious variant_of_擬|拟[ni3] to_emulate to_imitate 
儘	儘 to_the_greatest_extent (when_used_before_a_noun_of_location)_furthest_or_extreme to_be_within_the_limits_of to_give_priority_to 
儜	儜 weak wearied in_distress 
儞	儞 old_variant_of_你[ni3] 
償	償 to_repay to_compensate_for to_recompense to_fulfill_(hopes_etc) 
儡	儡 to_injure puppet 
儤	儤 on_night_duty 
儦	儦 walking_to_and_fro 
優	優 excellent superior 
儆	儆 to_warn to_admonish 
儈	儈 broker 
倓	倓 quiet peaceful 
倔	倔 crabby tough 
倖	倖 trusted intimate (of_the_emperor)_to_visit variant_of_幸[xing4] 
倘	倘 see_倘佯[chang2_yang2] 
倘	倘 if supposing in_case 
候	候 to_wait to_inquire_after to_watch season climate (old)_period_of_five_days 
倚	倚 to_lean_on to_rely_upon 
偈	偈 Buddhist_hymn gatha Buddhist_verse 
偈	偈 forceful martial 
偉	偉 big large great 
傭	傭 to_hire to_employ servant hired_laborer domestic_help 
傮	傮 finish,_to_go_around 
傯	傯 busy hurried despondent 
傲	傲 proud arrogant to_despise unyielding to_defy 
偨	偨 uneven 
偩	偩 to_rely_on to_resemble 
偪	偪 variant_of_逼[bi1] to_compel to_pressure 
偫	偫 to_wait_for to_lay_in 
偭	偭 to_transgress 
偯	偯 to_sob wail 
偰	偰 variant_of_契[qi4] contract 
偱	偱 to_tell 
偲	偲 talented urgent 
側	側 the_side to_incline_towards to_lean inclined lateral side 
側	側 lean_on_one_side 
侶	侶 companion 
侷	侷 narrow 
侽	侽 old_variant_of_男[nan2] 
便	便 plain informal suitable convenient opportune to_urinate_or_defecate equivalent_to_就[jiu4]:_then in_that_case even_if soon_afterwards 
便	便 see_便宜|便宜[pian2_yi5] 
內	內 inside inner internal within interior 
剰	剰 Japanese_variant_of_剩[sheng4] 
割	割 to_cut to_cut_apart 
